"gene","median_expr","log_rank_p","risk_ratio_high_vs_low","survival_effect"
"EXOC3",2423,0.04087,0.749,"extend survival"
"ZNF506",509,0.040871,1.336,"reduce survival"
"RP11-426A6.5",1,0.040884,1.337,"reduce survival"
"ARGFXP2",3,0.040903,1.336,"reduce survival"
"WASH5P",44,0.04091,1.335,"reduce survival"
"GABRA4",27,0.040914,0.748,"extend survival"
"CLDND1",3345,0.040954,1.335,"reduce survival"
"FZD5",217,0.04097,1.336,"reduce survival"
"AC016708.2",3,0.040981,0.742,"extend survival"
"RP11-62H7.3",1,0.040989,1.335,"reduce survival"
"RP11-523H24.3",10,0.041018,1.335,"reduce survival"
"CTA-929C8.8",1,0.041023,0.737,"extend survival"
"DGCR5",395,0.041024,0.748,"extend survival"
"ZNF235",126,0.041024,1.336,"reduce survival"
"SNORD20",4,0.041028,1.337,"reduce survival"
"FAM20C",4961,0.041045,1.335,"reduce survival"
"FEM1B",1662,0.041057,1.334,"reduce survival"
"ASPM",243,0.041058,1.334,"reduce survival"
"PCOLCE",1002,0.041073,1.335,"reduce survival"
"EMX1",22,0.041077,0.748,"extend survival"
"MIR5587",8,0.041095,1.336,"reduce survival"
"RP4-730K3.3",13,0.041126,1.334,"reduce survival"
"UCP2",1238,0.041126,1.335,"reduce survival"
"MLLT10",493,0.041128,1.336,"reduce survival"
"ZWILCH",244,0.04114,1.334,"reduce survival"
"MCF2L2",163,0.041154,0.749,"extend survival"
"SGPP1",602,0.041156,1.336,"reduce survival"
"HNRNPDL",8975,0.041162,1.335,"reduce survival"
"COL12A1",344,0.041249,1.335,"reduce survival"
"AC005481.5",7,0.041272,1.333,"reduce survival"
"RNU6-322P",13,0.041301,1.335,"reduce survival"
"CLK2",829,0.041345,1.335,"reduce survival"
"RARS2",676,0.041349,1.335,"reduce survival"
"ZNF175",228,0.041375,1.336,"reduce survival"
"CLDN18",9,0.041378,1.335,"reduce survival"
"FBXL13",28,0.041388,1.335,"reduce survival"
"MIR3180-4",2,0.041389,0.743,"extend survival"
"ORMDL3",2513,0.0414,1.332,"reduce survival"
"TAS2R4",9,0.041408,1.335,"reduce survival"
"MS4A8",1,0.041462,0.749,"extend survival"
"RP11-76N22.2",8,0.041502,1.334,"reduce survival"
"ERP44",1119,0.041518,1.334,"reduce survival"
"CDYL2",225,0.041545,0.75,"extend survival"
"DNAJC2",659,0.041548,1.335,"reduce survival"
"SNORA5C",12,0.041555,1.335,"reduce survival"
"STRA6",135,0.041562,1.334,"reduce survival"
"OLFML2B",456,0.041583,1.334,"reduce survival"
"METAP2",2134,0.041584,1.335,"reduce survival"
"NCOA5",1477,0.041585,1.334,"reduce survival"
"RP11-686F15.3",10,0.041604,0.749,"extend survival"
"PROSER1",613,0.041615,1.335,"reduce survival"
"RNU6-1238P",2,0.041675,1.335,"reduce survival"
"TDG",499,0.041676,1.335,"reduce survival"
"RP11-678G14.2",5,0.04169,1.334,"reduce survival"
"SNAP23",268,0.041698,1.335,"reduce survival"
"GLTP",2002,0.041711,1.333,"reduce survival"
"WIPI1",266,0.041716,1.335,"reduce survival"
"SERPINA5",62,0.041719,1.334,"reduce survival"
"ZSCAN12",199,0.041781,1.335,"reduce survival"
"G6PC3",3182,0.041825,1.332,"reduce survival"
"FUS",10768,0.041838,1.334,"reduce survival"
"YTHDF1",2434,0.041904,1.332,"reduce survival"
"KCNJ6",82,0.041941,0.75,"extend survival"
"ADM2",31,0.041977,1.333,"reduce survival"
"ZNF654",264,0.041983,1.334,"reduce survival"
"UTP3",703,0.041989,1.333,"reduce survival"
"SNORD99",16,0.042015,1.334,"reduce survival"
"FOLR1",59,0.042047,1.332,"reduce survival"
"WDR5",1740,0.042082,1.332,"reduce survival"
"LINC00941",10,0.042088,1.334,"reduce survival"
"KLF7",785,0.042125,1.334,"reduce survival"
"SP1",1386,0.042132,1.334,"reduce survival"
"MAGOH",887,0.042145,1.333,"reduce survival"
"ZNF283",102,0.042166,1.334,"reduce survival"
"MAU2",2611,0.042169,1.334,"reduce survival"
"SLC13A5",30,0.042212,0.75,"extend survival"
"AC092811.1",5,0.042226,1.334,"reduce survival"
"KLHL7",1246,0.042238,1.332,"reduce survival"
"EGFL6",14,0.042257,1.333,"reduce survival"
"PGM5P2",21,0.042268,1.334,"reduce survival"
"HTRA4",12,0.042302,1.333,"reduce survival"
"CXorf23",526,0.042343,1.334,"reduce survival"
"AC019206.1",3,0.042358,0.745,"extend survival"
"RP11-444D3.1",10,0.042362,1.333,"reduce survival"
"ABCA1",2276,0.042422,1.334,"reduce survival"
"ZNF730",25,0.042431,1.334,"reduce survival"
"GK",279,0.042464,1.333,"reduce survival"
"RP11-367N14.2",14,0.04256,1.332,"reduce survival"
"FBXO6",346,0.04258,1.331,"reduce survival"
"RP11-392O1.4",3,0.04259,1.333,"reduce survival"
"SFT2D2",1741,0.042595,1.333,"reduce survival"
"ERMAP",186,0.042601,1.333,"reduce survival"
"TMEM203",1348,0.042615,1.329,"reduce survival"
"PDCD6IP",2817,0.042657,1.334,"reduce survival"
"ZNF473",341,0.042663,1.333,"reduce survival"
"CTC-251D13.1",12,0.042666,1.332,"reduce survival"
"FOXC2",15,0.042694,1.332,"reduce survival"
"C10orf129",1,0.042715,1.333,"reduce survival"
"RP11-712B9.5",7,0.042767,1.332,"reduce survival"
"RP11-332H18.3",5,0.042769,1.332,"reduce survival"
"STOML1",1281,0.042775,0.75,"extend survival"
"PKD2",802,0.042799,1.333,"reduce survival"
"CD27-AS1",677,0.042892,1.332,"reduce survival"
"C7orf73",1264,0.042911,1.329,"reduce survival"
"BRD4",3043,0.042922,1.333,"reduce survival"
"PROS1",783,0.042948,1.331,"reduce survival"
"ZNF229",218,0.042959,1.333,"reduce survival"
"PCDHGA7",20,0.042972,1.332,"reduce survival"
"RP11-511I2.2",10,0.042983,1.332,"reduce survival"
"BCL2A1",68,0.043008,1.331,"reduce survival"
"RP11-521I2.3",10,0.043059,1.331,"reduce survival"
"GINS4",95,0.043101,1.331,"reduce survival"
"ACAD11",2,0.04311,1.334,"reduce survival"
"BGN",941,0.043113,1.331,"reduce survival"
"MIR22HG",428,0.043141,1.332,"reduce survival"
"EGR2",399,0.043177,1.331,"reduce survival"
"CTD-2024P10.2",3,0.043202,0.747,"extend survival"
"RP11-697N18.3",7,0.043219,1.332,"reduce survival"
"RP11-758P17.3",6,0.043315,1.332,"reduce survival"
"TMEM114",2,0.043317,1.331,"reduce survival"
"EFNB1",1065,0.043407,1.331,"reduce survival"
"HIP1",518,0.043433,1.332,"reduce survival"
"MT-CO2",145114,0.043472,0.751,"extend survival"
"PI4KB",2746,0.043478,1.33,"reduce survival"
"TRIM45",360,0.043486,1.331,"reduce survival"
"MZF1",1619,0.043509,1.33,"reduce survival"
"BBS10",472,0.043514,1.332,"reduce survival"
"TRRAP",1675,0.043517,1.332,"reduce survival"
"LINC00601",13,0.043529,1.331,"reduce survival"
"ARHGEF19",89,0.04359,1.329,"reduce survival"
"ISCA1P4",1,0.043603,1.329,"reduce survival"
"IER2",1681,0.043629,1.33,"reduce survival"
"EDN2",2,0.04363,1.331,"reduce survival"
"NXF1",3050,0.043643,1.331,"reduce survival"
"AP000473.8",85,0.043656,1.332,"reduce survival"
"RPL3P4",248,0.043666,0.752,"extend survival"
"DMBX1",7,0.043668,1.33,"reduce survival"
"RP11-301L8.2",4,0.04367,1.331,"reduce survival"
"CD37",433,0.043687,1.331,"reduce survival"
"CDKN2AIPNL",751,0.043688,0.751,"extend survival"
"CEACAM19",295,0.043713,1.33,"reduce survival"
"PLXNA1",3155,0.04374,1.331,"reduce survival"
"AC073254.1",16,0.043742,1.33,"reduce survival"
"RP11-570P14.1",3,0.043762,0.746,"extend survival"
"HOXC10",19,0.043788,1.329,"reduce survival"
"PALM3",224,0.043805,1.329,"reduce survival"
"MRPL47",797,0.043836,1.328,"reduce survival"
"RP11-434D9.1",3,0.043846,0.75,"extend survival"
"ESPL1",358,0.043866,1.329,"reduce survival"
"IL33",403,0.043879,1.331,"reduce survival"
"AC107081.5",6,0.043907,1.33,"reduce survival"
"SLC25A21",3,0.043911,0.747,"extend survival"
"RP11-503C24.2",1,0.043922,1.33,"reduce survival"
"TNFSF11",2,0.043929,1.332,"reduce survival"
"RP11-421L21.3",166,0.04393,1.33,"reduce survival"
"ACSM2A",1,0.04394,0.738,"extend survival"
"SLC22A16",4,0.043969,1.333,"reduce survival"
"CTB-46B19.2",4,0.043989,1.331,"reduce survival"
"CTD-2081K17.2",7,0.043995,0.752,"extend survival"
"NUBP1",231,0.044,1.33,"reduce survival"
"LINC00924",14,0.044022,1.331,"reduce survival"
"EIF2B1",1560,0.044098,1.329,"reduce survival"
"GPATCH2",372,0.044129,1.33,"reduce survival"
"EPHA3",110,0.044142,1.33,"reduce survival"
"RP11-390K5.1",3,0.044156,0.749,"extend survival"
"ZC3H14",632,0.044172,1.33,"reduce survival"
"RP11-752G15.9",46,0.044229,1.328,"reduce survival"
"OFD1",1093,0.044233,1.33,"reduce survival"
"RP11-245P10.4",18,0.044254,0.752,"extend survival"
"LEMD2",3106,0.044279,1.329,"reduce survival"
"AC005546.2",3,0.044281,1.33,"reduce survival"
"RP11-195F19.30",4,0.044336,1.329,"reduce survival"
"ULK3",2512,0.044339,1.329,"reduce survival"
"MOB3A",1848,0.044368,1.328,"reduce survival"
"AC020915.2",1,0.044375,1.329,"reduce survival"
"RP11-661O13.1",3,0.044395,1.33,"reduce survival"
"RANBP2",1876,0.0444,1.33,"reduce survival"
"PTGER2",8,0.04446,1.33,"reduce survival"
"FEM1C",1073,0.044462,1.33,"reduce survival"
"CTD-3006G17.2",1,0.044498,1.339,"reduce survival"
"AC004854.5",1,0.044503,1.329,"reduce survival"
"PKHD1",2,0.044541,1.331,"reduce survival"
"TLE2",1548,0.044554,1.329,"reduce survival"
"FERMT3",956,0.044582,1.329,"reduce survival"
"CTC-559E9.8",34,0.044596,1.329,"reduce survival"
"LINC01001",53,0.044601,1.33,"reduce survival"
"RP3-329A5.1",1,0.04461,1.349,"reduce survival"
"SETD2",1691,0.044613,1.329,"reduce survival"
"ITM2C",28530,0.044624,1.328,"reduce survival"
"STC1",114,0.044668,1.329,"reduce survival"
"C14orf180",5,0.044689,0.752,"extend survival"
"ST20",48,0.044697,1.329,"reduce survival"
"TTF1",412,0.044708,1.329,"reduce survival"
"ZNF329",358,0.044708,1.328,"reduce survival"
"CCDC102B",263,0.04471,1.33,"reduce survival"
"PSMA6",53,0.044716,1.329,"reduce survival"
"KIF20A",206,0.044743,1.326,"reduce survival"
"HNRNPCL1",3,0.044745,1.336,"reduce survival"
"BCL3",511,0.044748,1.329,"reduce survival"
"ADH5",2540,0.044778,1.328,"reduce survival"
"PPFIA4",914,0.044804,1.329,"reduce survival"
"PLRG1",1577,0.044849,1.329,"reduce survival"
"RP11-431J24.2",4,0.044861,1.328,"reduce survival"
"PIP5K1A",1265,0.044867,1.328,"reduce survival"
"CTD-2527I21.9",3,0.044873,1.33,"reduce survival"
"NUP210",1035,0.044916,1.328,"reduce survival"
"SNORD6",5,0.045015,1.328,"reduce survival"
"GJC1",618,0.045089,1.328,"reduce survival"
"RP11-143M1.7",1,0.045095,0.747,"extend survival"
"HP1BP3",2353,0.045098,1.329,"reduce survival"
"LAMP2",4721,0.045114,1.329,"reduce survival"
"CD59",6161,0.045115,1.328,"reduce survival"
"PGAP2",681,0.045118,1.328,"reduce survival"
"TM9SF4",2547,0.045157,1.328,"reduce survival"
"NMNAT3",268,0.045161,1.328,"reduce survival"
"RP11-250B2.3",33,0.045162,1.329,"reduce survival"
"SNORD103B",1,0.04519,1.352,"reduce survival"
"ZDHHC4",607,0.045226,1.328,"reduce survival"
"KIF5C",3529,0.04523,1.327,"reduce survival"
"H2BFS",1,0.045255,1.337,"reduce survival"
"APCDD1L-AS1",13,0.045259,1.328,"reduce survival"
"RPL4P4",174,0.045295,0.753,"extend survival"
"HDAC9",503,0.045296,1.327,"reduce survival"
"RCOR3",1179,0.045309,1.328,"reduce survival"
"NKTR",2581,0.045312,1.328,"reduce survival"
"TRAF6",247,0.045315,1.329,"reduce survival"
"RECQL",329,0.045319,1.328,"reduce survival"
"NRM",115,0.045346,1.327,"reduce survival"
"AIMP1",1171,0.045356,1.327,"reduce survival"
"RP11-884K10.7",176,0.045371,1.324,"reduce survival"
"C8orf4",475,0.045375,1.328,"reduce survival"
"ZNF607",293,0.045375,1.328,"reduce survival"
"GUCA1B",51,0.045394,1.329,"reduce survival"
"RNF19A",1677,0.045404,1.328,"reduce survival"
"CTD-2292M16.8",14,0.045453,1.328,"reduce survival"
"CLIP2",2130,0.045454,1.328,"reduce survival"
"GCSAM",4,0.045487,1.328,"reduce survival"
"UBA6",1149,0.045519,1.328,"reduce survival"
"RP11-343P9.1",1,0.045535,1.331,"reduce survival"
"RP11-981G7.2",36,0.045541,1.328,"reduce survival"
"LGMNP1",1,0.045643,1.339,"reduce survival"
"RP11-625H11.2",1,0.045659,0.75,"extend survival"
"MLTK",759,0.045668,1.327,"reduce survival"
"ZNF793",437,0.045671,1.328,"reduce survival"
"FCN2",1,0.045707,0.753,"extend survival"
"SBSPON",84,0.045719,1.326,"reduce survival"
"CBX3",4659,0.045731,1.324,"reduce survival"
"RP11-586D19.1",12,0.045773,0.753,"extend survival"
"C1orf210",1,0.045803,0.752,"extend survival"
"UQCRB",5149,0.045811,0.753,"extend survival"
"COL28A1",126,0.045818,1.328,"reduce survival"
"KDM3A",1443,0.045831,1.328,"reduce survival"
"CABP1",191,0.045836,0.753,"extend survival"
"RN7SL146P",2,0.045844,1.327,"reduce survival"
"HMGA2",16,0.045852,1.327,"reduce survival"
"AIMP2",358,0.045861,1.326,"reduce survival"
"PIWIL4",96,0.045866,1.328,"reduce survival"
"GS1-18A18.1",2,0.045933,0.752,"extend survival"
"GEN1",290,0.045958,1.326,"reduce survival"
"MET",175,0.045963,1.326,"reduce survival"
"RP11-638I2.9",4,0.045963,1.327,"reduce survival"
"MSTO1",583,0.046008,1.326,"reduce survival"
"PDPR",330,0.046021,1.327,"reduce survival"
"CTD-3138B18.5",125,0.046027,1.326,"reduce survival"
"RP4-717I23.3",604,0.046041,1.328,"reduce survival"
"FOS",5728,0.04605,1.326,"reduce survival"
"GNPDA1",1761,0.046064,1.327,"reduce survival"
"U91328.22",5,0.046114,1.325,"reduce survival"
"PDE1C",439,0.046123,1.327,"reduce survival"
"RANBP10",871,0.046127,1.327,"reduce survival"
"COL4A3BP",922,0.046135,1.327,"reduce survival"
"PTX3",191,0.046142,1.326,"reduce survival"
"RP11-345K20.2",12,0.046149,0.754,"extend survival"
"FMO4",76,0.04615,1.327,"reduce survival"
"CNOT4",808,0.046167,1.327,"reduce survival"
"PLEKHA8",446,0.046177,1.327,"reduce survival"
"GNS",2724,0.046187,1.326,"reduce survival"
"NUAK1",643,0.046255,1.325,"reduce survival"
"SNX16",200,0.046281,1.327,"reduce survival"
"NDUFB10",2491,0.046297,0.754,"extend survival"
"KIAA1024",62,0.046301,1.327,"reduce survival"
"RNF2",489,0.046305,1.325,"reduce survival"
"NFE2L2",1974,0.046327,1.326,"reduce survival"
"RBM38",1252,0.046337,1.325,"reduce survival"
"RDM1",13,0.046348,1.325,"reduce survival"
"PMS1",601,0.046375,1.326,"reduce survival"
"RP4-630A11.3",1,0.046408,1.357,"reduce survival"
"FAM214B",1274,0.046413,1.326,"reduce survival"
"ZNF197-AS1",12,0.046427,1.325,"reduce survival"
"MIR378B",1,0.046443,1.33,"reduce survival"
"RP11-744N12.3",1,0.046451,0.751,"extend survival"
"TRMT13",388,0.046483,1.326,"reduce survival"
"SOX3",60,0.046485,0.755,"extend survival"
"RPL21P28",80,0.046494,0.754,"extend survival"
"PTH1R",346,0.046497,0.754,"extend survival"
"GAB2",1764,0.046516,1.326,"reduce survival"
"RPL39P36",4,0.046519,1.328,"reduce survival"
"MKRN5P",3,0.046529,1.326,"reduce survival"
"RGPD1",2,0.046541,1.326,"reduce survival"
"HOXA10",45,0.046556,1.325,"reduce survival"
"AJUBA",242,0.046586,1.326,"reduce survival"
"OCIAD1-AS1",16,0.046597,1.326,"reduce survival"
"POMGNT1",3654,0.0466,1.325,"reduce survival"
"ZNF83",1658,0.046602,1.326,"reduce survival"
"AQP7",2,0.04661,0.753,"extend survival"
"NAP1L4P3",1,0.046613,1.347,"reduce survival"
"TPH1",31,0.046621,1.327,"reduce survival"
"RP11-2B6.2",3,0.046623,1.326,"reduce survival"
"RP11-1006G14.1",3,0.046667,1.326,"reduce survival"
"PHYHIP",641,0.046668,0.754,"extend survival"
"RP11-424C20.2",76,0.04669,1.325,"reduce survival"
"BACE1",2109,0.0467,1.326,"reduce survival"
"OPN1SW",61,0.046725,1.325,"reduce survival"
"LIG3",604,0.046741,1.324,"reduce survival"
"TOMM40L",308,0.046766,1.324,"reduce survival"
"RP4-564F22.5",18,0.046779,1.324,"reduce survival"
"IBSP",30,0.046812,1.326,"reduce survival"
"RP11-167N4.2",3,0.046845,1.326,"reduce survival"
"PEX1",808,0.046864,1.326,"reduce survival"
"ADCY3",504,0.046882,1.326,"reduce survival"
"AC104655.2",10,0.04689,1.325,"reduce survival"
"RP11-481H12.1",5,0.046901,1.325,"reduce survival"
"RP3-395C13.1",11,0.046919,1.326,"reduce survival"
"RP11-328N19.1",3,0.046942,1.323,"reduce survival"
"ATXN7",514,0.046968,1.326,"reduce survival"
"SEPT10",873,0.046978,1.325,"reduce survival"
"CAST",1326,0.046983,1.325,"reduce survival"
"LAMA4",1093,0.04699,1.325,"reduce survival"
"RP11-181K3.4",4,0.047023,1.325,"reduce survival"
"MIR3179-1",1,0.047032,0.753,"extend survival"
"RP11-456P18.2",6,0.04704,1.322,"reduce survival"
"NLGN3",2391,0.047053,1.324,"reduce survival"
"ARAP2",1077,0.047072,1.325,"reduce survival"
"PNISR",3201,0.047089,1.326,"reduce survival"
"ARSJ",126,0.047122,1.325,"reduce survival"
"SRSF10",355,0.04714,1.325,"reduce survival"
"ZCCHC4",197,0.047153,1.325,"reduce survival"
"CTD-2560K21.6",7,0.047191,1.325,"reduce survival"
"MND1",74,0.047193,1.321,"reduce survival"
"FCGR2C",97,0.047207,1.325,"reduce survival"
"ATG4D",584,0.047225,1.323,"reduce survival"
"PDS5A",2026,0.047236,1.325,"reduce survival"
"RP11-486A14.2",3,0.047242,1.332,"reduce survival"
"SIGLEC1",372,0.047268,1.325,"reduce survival"
"FAM110D",74,0.047273,0.755,"extend survival"
"ST7-AS2",7,0.047277,1.326,"reduce survival"
"AC010226.4",21,0.047303,1.325,"reduce survival"
"MACF1",8101,0.047304,1.325,"reduce survival"
"CCDC85C",469,0.047311,1.324,"reduce survival"
"CHST1",1093,0.04732,0.755,"extend survival"
"DCAF5",1350,0.047338,1.325,"reduce survival"
"KCNJ1",5,0.047349,0.755,"extend survival"
"SGOL1-AS1",1,0.047355,1.337,"reduce survival"
"CHD4",6113,0.047373,1.324,"reduce survival"
"ANO7",74,0.047378,1.324,"reduce survival"
"RAD17",272,0.047386,1.325,"reduce survival"
"DEPDC1",102,0.047409,1.322,"reduce survival"
"RP11-736N17.4",2,0.047416,1.326,"reduce survival"
"STRCP1",15,0.047424,0.756,"extend survival"
"FAHD2CP",267,0.047442,1.324,"reduce survival"
"ANO6",1181,0.047447,1.324,"reduce survival"
"FANCM",103,0.047452,1.325,"reduce survival"
"TDH",20,0.047456,0.755,"extend survival"
"INSIG1",956,0.047492,0.755,"extend survival"
"FCGR2B",91,0.047535,1.324,"reduce survival"
"RN7SL834P",1,0.047556,1.324,"reduce survival"
"PCDHGA3",36,0.047602,1.324,"reduce survival"
"ARHGAP33",2724,0.047618,1.323,"reduce survival"
"RP11-464F9.21",5,0.047639,1.324,"reduce survival"
"CDK12",727,0.047653,1.324,"reduce survival"
"PAX6",782,0.047665,1.323,"reduce survival"
"DENR",1578,0.047681,1.323,"reduce survival"
"RP11-242O24.5",3,0.047728,1.324,"reduce survival"
"MPP7",19,0.047743,0.756,"extend survival"
"AC010642.2",3,0.047744,1.324,"reduce survival"
"CTB-13F3.1",9,0.047783,1.324,"reduce survival"
"FAM95B1",36,0.047836,1.322,"reduce survival"
"URI1",1563,0.047851,1.323,"reduce survival"
"AC019186.1",3,0.047857,1.332,"reduce survival"
"ZC3H18",2051,0.047921,1.323,"reduce survival"
"INO80E",1545,0.04794,1.322,"reduce survival"
"HSPA6",330,0.04799,1.324,"reduce survival"
"RP11-553D4.2",1,0.048005,1.324,"reduce survival"
"SRC",1446,0.048005,1.321,"reduce survival"
"ARID2",524,0.048006,1.324,"reduce survival"
"INIP",685,0.048012,1.322,"reduce survival"
"PLA2G2A",47,0.048028,1.324,"reduce survival"
"AC092687.5",1,0.048039,1.368,"reduce survival"
"ANKLE2",2083,0.048039,1.323,"reduce survival"
"TMEM104",1060,0.04805,1.321,"reduce survival"
"SPRED3",126,0.048074,1.324,"reduce survival"
"AP000688.8",2,0.048075,1.32,"reduce survival"
"ZKSCAN5",759,0.048089,1.323,"reduce survival"
"RP11-696L21.2",5,0.048122,1.323,"reduce survival"
"HLF",250,0.048144,0.756,"extend survival"
"RP11-561C5.4",136,0.048173,1.321,"reduce survival"
"RP11-415F23.3",4,0.048183,1.322,"reduce survival"
"PHKG1",599,0.04821,1.323,"reduce survival"
"PSKH1",885,0.04823,1.323,"reduce survival"
"MUTYH",681,0.048231,1.323,"reduce survival"
"CHRAC1",558,0.048248,1.323,"reduce survival"
"SIPA1L3",1285,0.048274,1.322,"reduce survival"
"ZNF813",83,0.048329,1.323,"reduce survival"
"DST",7696,0.048357,1.324,"reduce survival"
"FBXL15",743,0.048372,0.756,"extend survival"
"INVS",301,0.048394,1.322,"reduce survival"
"RP11-215P8.3",11,0.048421,0.756,"extend survival"
"COL18A1-AS1",3,0.048468,0.752,"extend survival"
"CDCA8",194,0.048509,1.321,"reduce survival"
"SIGLEC7",38,0.048576,1.323,"reduce survival"
"CAMKMT",195,0.048577,1.322,"reduce survival"
"ALOXE3",5,0.048579,0.756,"extend survival"
"RP11-413M3.4",26,0.048591,1.321,"reduce survival"
"MC1R",91,0.048607,1.323,"reduce survival"
"AC091878.1",7,0.048641,0.756,"extend survival"
"CNTN6",20,0.048647,0.757,"extend survival"
"ARHGEF39",92,0.04865,1.319,"reduce survival"
"SEPHS2",1575,0.048656,1.321,"reduce survival"
"RP11-439K3.1",3,0.048682,1.322,"reduce survival"
"ZNF284",120,0.048691,1.323,"reduce survival"
"PABPN1L",2,0.048735,0.755,"extend survival"
"TNIP3",3,0.048735,0.752,"extend survival"
"RP4-738P15.1",1,0.048751,0.75,"extend survival"
"SP110",474,0.048755,1.321,"reduce survival"
"RP11-386G11.8",2,0.048837,1.323,"reduce survival"
"GRIN1",383,0.048857,0.756,"extend survival"
"TRIM13",675,0.048886,1.322,"reduce survival"
"RCC2P7",1,0.048903,1.325,"reduce survival"
"PDE2A",399,0.048909,0.756,"extend survival"
"HERC5",353,0.048932,1.321,"reduce survival"
"WDR4",361,0.048932,1.321,"reduce survival"
"RP11-57H12.5",6,0.048937,1.322,"reduce survival"
"SLC25A39P1",1,0.048952,1.331,"reduce survival"
"RP11-54A4.2",19,0.049002,1.322,"reduce survival"
"COL15A1",163,0.049003,1.322,"reduce survival"
"CTBP1-AS2",601,0.049065,1.321,"reduce survival"
"RP11-365F18.3",2,0.049072,1.322,"reduce survival"
"RP11-789C1.1",1,0.04909,1.331,"reduce survival"
"AC010761.8",62,0.049093,1.321,"reduce survival"
"NBEAL2",965,0.04913,1.322,"reduce survival"
"C9orf89",1360,0.049155,1.321,"reduce survival"
"ZNF683",9,0.049178,1.321,"reduce survival"
"RP11-313J2.1",40,0.049179,0.757,"extend survival"
"NFXL1",228,0.049213,1.322,"reduce survival"
"RP4-771M4.3",1,0.04922,1.321,"reduce survival"
"RP11-296A18.5",5,0.049258,1.321,"reduce survival"
"RP11-403A21.2",8,0.049258,1.321,"reduce survival"
"KIAA1257",13,0.049274,1.32,"reduce survival"
"PI4KAP1",339,0.049301,1.321,"reduce survival"
"ZFAND6",1669,0.049344,1.32,"reduce survival"
"RP1-159A19.4",15,0.049353,0.757,"extend survival"
"CTB-58E17.2",1,0.049364,0.748,"extend survival"
"PLXNB1",6710,0.049383,1.322,"reduce survival"
"CXCR6",13,0.049403,1.323,"reduce survival"
"EPB41L4A-AS1",679,0.049427,0.757,"extend survival"
"RNF14",1195,0.049453,1.321,"reduce survival"
"RP3-467K16.7",3,0.049472,1.32,"reduce survival"
"TCFL5",622,0.049486,1.321,"reduce survival"
"NABP1",327,0.04949,1.322,"reduce survival"
"SOWAHC",332,0.049499,1.32,"reduce survival"
"RP11-710F7.3",3,0.049528,1.321,"reduce survival"
"FAM45A",599,0.049568,0.758,"extend survival"
"RPL5P11",1,0.049569,1.321,"reduce survival"
"ITGA5",1148,0.049577,1.321,"reduce survival"
"RP11-255A11.21",2,0.049587,0.754,"extend survival"
"NEXN-AS1",14,0.049594,1.321,"reduce survival"
"MYOG",6,0.049599,1.32,"reduce survival"
"RP11-49K24.8",5,0.04961,1.321,"reduce survival"
"COLEC12",524,0.049617,1.321,"reduce survival"
"CTD-2583P5.3",2,0.049621,1.328,"reduce survival"
"NCAPG",163,0.049628,1.32,"reduce survival"
"RP4-704D21.2",2,0.049632,1.321,"reduce survival"
"KRT8P12",385,0.04969,1.32,"reduce survival"
"LINC00475",28,0.049719,1.321,"reduce survival"
"RP11-450K4.1",3,0.049731,1.326,"reduce survival"
"PYGL",1149,0.049736,1.321,"reduce survival"
"PCDHB9",59,0.049759,1.319,"reduce survival"
"MAP3K12",1458,0.049837,1.321,"reduce survival"
"TAC3",24,0.049837,0.757,"extend survival"
"RP11-141B14.1",7,0.049901,1.321,"reduce survival"
"CCZ1B",459,0.049921,1.32,"reduce survival"
"RP11-214K3.20",3,0.049934,1.322,"reduce survival"
"DLG1",1693,0.049976,1.32,"reduce survival"
